_DATA/2023-03-29_16_04.24.16.PM.csv
     Motor Setting  
 , MotorVelocity = 7500 , MotorAcceleration = 50000 , MotorDeceleration = 50000 , HomingCurrent = 351 , MotorCurrentReadPause = 50 , ClosingCurrent = -150 , DistanceMax = 18 , DistanceMin = 9 , HomeHeight = 9 , LoadMax = 267 , EncoderCountMax = 275000 , EncoderCountMin = -150000 , MotorCurrentMax = 700 , StartHeightEncoder = -50000
     FormulaCurrentPerLoadVsEncoderCounts  
 , MotorCurrentTarget_a = 1.546 , MotorCurrentTarget_b1 = 0.0000061059341659714 , MotorCurrentTarget_b2 = 0.0000000000334298566798185 , MotorCurrentTarget_b3 = -0.0000000000000001813071636091 , MotorCurrentTarget_K = 1
     FormulaLoadPerCurrentVsEncoderCounts  
 , LoadAtCurrent_a = 0.641 , LoadAtCurrent_b1 = -0.00000244132427640287 , LoadAtCurrent_b2 = 0.00000000000257288786562205 , LoadAtCurrent_b3 = 0.0000000000000000150694885362 , LoadAtCurrent_K = 1
     FormulaHeightVsEncoder  
 , PlateHeight_a = 9.005 , PlateHeight_b1 = 0.0000192820702508629 , PlateHeight_b2 = 0.000000000106294084971135 , PlateHeight_b3 = -0.0000000000000001001489766899 , PlateHeight_intercept = 9 , PlateHeight_base = 222.4 , PlateHeight_shift = 0.0072 , PlateHeight_K = 1
     FormulaEncoderVsHeight  
 , EncoderCountsAbsolute_a = -753481.6 , EncoderCountsAbsolute_b1 = 137653 , EncoderCountsAbsolute_b2 = -7360.73 , EncoderCountsAbsolute_b3 = 153.361 , EncoderCountsAbsolute_intercept = -754458.1 , EncoderCountsAbsolute_base = 222.4 , EncoderCountsAbsolute_shift = 325 , EncoderCountsAbsolute_K = 1
     Operation  
 , ForceStepCoeff        = 180 , LoadTarget            = 180 , LoadTolerance         = 10 , LoadApproachForce     = 80 , LoadApproachForceRamp = 80 , SeekCyclePause    = 1 , ForceUpPause      = 1 , ForceRampPause    = 20 , DistancePause     = 1 , DistanceRampPause = 25 , SeekUpStep        = 2000 , ForceDownStepNet  = 4000 , ForceUpStep       = 15000 , ForceRampStep     = 2000 , DistanceUpStep    = 10000 , DistanceRampStep  = 10000 , DistanceStayStep  = 15000 , DistanceTuneStep  = 5000 , LoadMaxSafetyDrop = 100000 , FirstMoveStep     = 25000 , DistanceTolerance = 0.2
      
Time , Encoder Count , Calc'd Height (mm) , Calc'd Load (N) , Actual Current (mA) , Target Current , Tolerance Current , Decision , Serial Stream , Mode
04:24:16.444 , 167579 , 16.74 , -55.1 , -147 , 477.9 , 0.00 , Down , No , False
04:24:16.452 , 167373 , 16.78 , -61.9 , -165 , 477.8 , 0.00 , Down , No , False
04:24:16.458 , 167161 , 16.88 , -77.3 , -206 , 477.7 , 0.00 , Down , No , False
04:24:16.464 , 166891 , 16.80 , -67.5 , -180 , 477.6 , 0.00 , Down , No , False
04:24:16.470 , 166570 , 16.93 , -87.5 , -233 , 477.5 , 0.00 , Down , No , False
04:24:16.476 , 166177 , 16.83 , -76.2 , -203 , 477.3 , 0.00 , Down , No , False
04:24:16.482 , 165734 , 16.96 , -96.9 , -258 , 477.1 , 0.00 , Down , No , False
04:24:16.489 , 165215 , 16.77 , -73.7 , -196 , 476.9 , 0.00 , Down , No , False
04:24:16.495 , 164574 , 16.99 , -109.1 , -290 , 476.7 , 0.00 , Down , No , False
04:24:16.501 , 163923 , 16.77 , -82.0 , -218 , 476.4 , 0.00 , Down , No , False
04:24:16.508 , 163180 , 16.95 , -111.9 , -297 , 476.1 , 0.00 , Down , No , False
04:24:16.515 , 162305 , 16.93 , -114.2 , -303 , 475.6 , 0.00 , Down , No , False
04:24:16.523 , 161293 , 16.87 , -112.8 , -299 , 475.2 , 0.00 , Down , No , False
04:24:16.528 , 160132 , 16.86 , -118.3 , -313 , 474.6 , 0.00 , Down , No , False
04:24:16.534 , 159143 , 16.81 , -118.1 , -312 , 474.1 , 0.00 , Down , No , False
04:24:16.540 , 158095 , 16.79 , -122.8 , -324 , 473.5 , 0.00 , Down , No , False
04:24:16.548 , 156908 , 16.71 , -118.4 , -312 , 472.8 , 0.00 , Down , No , False
04:24:16.554 , 155569 , 16.66 , -119.8 , -315 , 472.0 , 0.00 , Down , No , False
04:24:16.561 , 154343 , 16.06 , -44.6 , -117 , 471.3 , 0.00 , Down , No , False
04:24:16.568 , 153036 , 16.12 , -60.3 , -158 , 470.4 , 0.00 , Down , No , False
04:24:16.575 , 151721 , 15.87 , -34.0 , -89 , 469.6 , 0.00 , Down , No , False
04:24:16.581 , 150568 , 15.85 , -38.7 , -101 , 468.8 , 0.00 , Down , No , False
04:24:16.587 , 149611 , 15.74 , -28.8 , -75 , 468.1 , 0.00 , Down , No , False
04:24:16.594 , 148663 , 15.71 , -30.8 , -80 , 467.4 , 0.00 , Down , No , False
04:24:16.600 , 147729 , 15.68 , -32.7 , -85 , 466.7 , 0.00 , Down , No , False
