_DATA/2023-03-30_11_11.17.20.AM.csv
Motor Setting   , MotorVelocity = 7500 , MotorAcceleration = 50000 , MotorDeceleration = 50000 , HomingCurrent = 351 , MotorCurrentReadPause = 50 , ClosingCurrent = -150 , DistanceMax = 18 , DistanceMin = 9 , HomeHeight = 9 , LoadMax = 267 , EncoderCountMax = 275000 , EncoderCountMin = -150000 , MotorCurrentMax = 700 , StartHeightEncoder = -50000
     FormulaCurrentPerLoadVsEncoderCounts   , MotorCurrentTarget_a = 1.546 , MotorCurrentTarget_b1 = 0.0000061059341659714 , MotorCurrentTarget_b2 = 0.0000000000334298566798185 , MotorCurrentTarget_b3 = -0.0000000000000001813071636091 , MotorCurrentTarget_K = 1
LoadPerCurVsEnc   , LoadAtCurrent_a = 0.641 , LoadAtCurrent_b1 = -0.00000244132427640287 , LoadAtCurrent_b2 = 0.00000000000257288786562205 , LoadAtCurrent_b3 = 0.0000000000000000150694885362 , LoadAtCurrent_K = 1
HeightVsEnc   , PlateHeight_a = 9.005 , PlateHeight_b1 = 0.0000192820702508629 , PlateHeight_b2 = 0.000000000106294084971135 , PlateHeight_b3 = -0.0000000000000001001489766899 , PlateHeight_K = 1 , PlateHeight_intercept = 9 , PlateHeight_base = 222.4 , PlateHeight_shift = 0.0072 , 
EncVsHeight   , EncoderCountsAbsolute_a = -753481.6 , EncoderCountsAbsolute_b1 = 137653 , EncoderCountsAbsolute_b2 = -7360.73 , EncoderCountsAbsolute_b3 = 153.361 , EncoderCountsAbsolute_K = 1 , EncoderCountsAbsolute_intercept = -754458.1 , EncoderCountsAbsolute_base = 222.4 , EncoderCountsAbsolute_shift = 325 , 
Operation   , ForceStepCoeff        = 180 , LoadTarget            = 180 , LoadTolerance         = 10 , LoadApproachForce     = 80 , LoadApproachForceRamp = 80 , SeekCyclePause    = 1 , ForceUpPause      = 1 , ForceRampPause    = 20 , DistancePause     = 1 , DistanceRampPause = 25 , SeekUpStep        = 2000 , ForceDownStepNet  = 4000 , ForceUpStep       = 15000 , ForceRampStep     = 2000 , DistanceUpStep    = 10000 , DistanceRampStep  = 10000 , DistanceStayStep  = 15000 , DistanceTuneStep  = 5000 , LoadMaxSafetyDrop = 100000 , FirstMoveStep     = 25000 , DistanceTolerance = 0.2
      
Time , Serial Stream , Encoder Count , Height (mm) , Load (N) , Actual Current (mA) , Target Current , mA Tolearnce , Decision , Mode
11:17:20.404 , First Move , -99991 , 9.84 , 0.0 , 0 , 261.2 , 0.00 , False , LoadOperation
11:17:20.432 ,  , -100120 , 10.83 , -138.0 , -154 , 261.3 , 0.00 , False , MTPR
11:17:20.444 ,  , -100497 , 11.12 , -177.6 , -198 , 261.7 , 0.00 , False , MTPR
11:17:20.456 ,  , -101127 , 10.98 , -158.2 , -176 , 262.4 , 0.00 , False , MTPR
11:17:20.467 ,  , -101893 , 11.40 , -215.2 , -239 , 263.3 , 0.00 , False , MTPR
11:17:20.478 ,  , -102898 , 11.76 , -264.6 , -293 , 264.5 , 0.00 , False , MTPR
11:17:20.489 ,  , -104071 , 11.91 , -285.4 , -315 , 265.9 , 0.00 , False , MTPR
11:17:20.502 ,  , -105503 , 11.88 , -279.2 , -307 , 267.6 , 0.00 , False , MTPR
11:17:20.513 ,  , -107396 , 11.99 , -293.5 , -321 , 270.1 , 0.00 , False , MTPR
11:17:20.525 ,  , -109423 , 12.13 , -309.8 , -337 , 272.8 , 0.00 , False , MTPR
11:17:20.537 ,  , -111698 , 12.08 , -301.5 , -326 , 276.1 , 0.00 , False , MTPR
11:17:20.549 ,  , -114102 , 11.10 , -161.9 , -174 , 279.7 , 0.00 , False , MTPR
11:17:20.560 ,  , -116148 , 10.80 , -117.9 , -126 , 282.9 , 0.00 , False , MTPR
11:17:20.572 ,  , -118102 , 10.69 , -99.7 , -106 , 286.2 , 0.00 , False , MTPR
11:17:20.583 ,  , -119703 , 10.73 , -102.9 , -109 , 288.9 , 0.00 , False , MTPR
11:17:20.597 ,  , -121145 , 10.34 , -47.4 , -50 , 291.5 , 0.00 , False , MTPR
11:17:20.607 ,  , -122388 , 10.48 , -63.7 , -67 , 293.7 , 0.00 , False , MTPR
11:17:20.618 ,  , -123387 , 10.52 , -67.7 , -71 , 295.6 , 0.00 , False , MTPR
11:17:20.630 ,  , -124146 , 10.28 , -33.4 , -35 , 297.0 , 0.00 , False , MTPR
11:17:20.642 ,  , -124662 , 10.00 , 6.7 , 7 , 298.0 , 0.00 , False , MTPR
11:17:20.654 ,  , -124933 , 9.72 , 45.9 , 48 , 298.5 , 0.00 , False , MTPR
11:17:20.666 ,  , -124974 , 10.28 , -32.5 , -34 , 298.6 , 0.00 , True , MTPR
11:17:20.735 , Up , -124991 , 10.00 , 6.7 , 7 , 298.6 , 0.00 , False , LoadOperation
11:17:20.761 ,  , -124856 , 8.83 , 168.4 , 176 , 298.4 , 0.00 , False , MTPR
11:17:20.773 ,  , -124468 , 8.71 , 184.4 , 193 , 297.6 , 0.00 , False , MTPR
11:17:20.785 ,  , -123839 , 8.35 , 233.8 , 245 , 296.4 , 0.00 , False , MTPR
11:17:20.797 ,  , -122954 , 8.56 , 203.7 , 214 , 294.8 , 0.00 , False , MTPR
11:17:20.809 ,  , -121829 , 8.51 , 207.9 , 219 , 292.7 , 0.00 , False , MTPR
11:17:20.821 ,  , -120461 , 8.38 , 224.2 , 237 , 290.2 , 0.00 , False , MTPR
11:17:20.833 ,  , -118850 , 8.24 , 242.1 , 257 , 287.4 , 0.00 , False , MTPR
11:17:20.846 ,  , -116996 , 8.02 , 269.1 , 287 , 284.3 , 0.00 , False , MTPR
11:17:20.857 ,  , -114967 , 7.97 , 273.3 , 293 , 281.0 , 0.00 , False , MTPR
11:17:20.869 ,  , -112624 , 8.02 , 264.2 , 285 , 277.4 , 0.00 , False , MTPR
11:17:20.881 ,  , -110042 , 7.83 , 288.2 , 313 , 273.7 , 0.00 , False , MTPR
11:17:20.892 ,  , -107112 , 7.79 , 290.5 , 318 , 269.7 , 0.00 , False , MTPR
11:17:20.905 ,  , -104066 , 8.31 , 215.6 , 238 , 265.9 , 0.00 , False , MTPR
11:17:20.917 ,  , -101099 , 8.37 , 204.0 , 227 , 262.4 , 0.00 , False , MTPR
11:17:20.929 ,  , -98028 , 8.41 , 196.9 , 221 , 259.1 , 0.00 , False , MTPR
11:17:20.941 ,  , -95164 , 8.47 , 186.4 , 211 , 256.3 , 0.00 , False , MTPR
11:17:20.953 ,  , -91867 , 8.91 , 124.3 , 142 , 253.4 , 0.00 , False , MTPR
11:17:20.965 ,  , -89120 , 9.04 , 105.1 , 121 , 251.2 , 0.00 , False , MTPR
11:17:20.977 ,  , -86614 , 9.02 , 106.9 , 124 , 249.4 , 0.00 , False , MTPR
11:17:20.989 ,  , -84358 , 9.06 , 101.0 , 118 , 248.0 , 0.00 , False , MTPR
11:17:21.000 ,  , -82527 , 9.26 , 74.1 , 87 , 246.9 , 0.00 , False , MTPR
11:17:21.011 ,  , -80901 , 9.39 , 55.9 , 66 , 246.0 , 0.00 , False , MTPR
11:17:21.023 ,  , -79279 , 9.32 , 65.8 , 78 , 245.2 , 0.00 , False , MTPR
11:17:21.035 ,  , -78079 , 9.40 , 53.8 , 64 , 244.7 , 0.00 , False , MTPR
11:17:21.047 ,  , -76872 , 9.73 , 8.4 , 10 , 244.2 , 0.00 , False , MTPR
11:17:21.059 ,  , -76040 , 9.82 , -4.2 , -5 , 243.8 , 0.00 , False , MTPR
11:17:21.071 ,  , -75451 , 9.90 , -15.0 , -18 , 243.6 , 0.00 , False , MTPR
11:17:21.083 ,  , -75108 , 10.10 , -42.5 , -51 , 243.5 , 0.00 , False , MTPR
11:17:21.095 ,  , -75009 , 9.87 , -10.0 , -12 , 243.5 , 0.00 , False , MTPR
11:17:21.107 ,  , -75005 , 9.68 , 15.8 , 19 , 243.5 , 0.00 , True , MTPR
11:17:22.125 , Down , -74991 , 9.57 , 31.6 , 38 , 243.5 , 0.00 , False , LoadOperation
11:17:22.150 ,  , -75110 , 10.59 , -110.7 , -133 , 243.5 , 0.00 , False , MTPR
11:17:22.161 ,  , -75432 , 10.77 , -135.8 , -163 , 243.6 , 0.00 , False , MTPR
11:17:22.175 ,  , -76145 , 11.09 , -179.6 , -215 , 243.9 , 0.00 , False , MTPR
11:17:22.186 ,  , -76957 , 11.15 , -188.4 , -225 , 244.2 , 0.00 , False , MTPR
11:17:22.198 ,  , -78066 , 11.16 , -189.9 , -226 , 244.7 , 0.00 , False , MTPR
11:17:22.209 ,  , -79274 , 11.23 , -199.8 , -237 , 245.2 , 0.00 , False , MTPR
11:17:22.220 ,  , -80673 , 11.45 , -230.3 , -272 , 245.9 , 0.00 , False , MTPR
11:17:22.230 ,  , -82215 , 11.47 , -234.0 , -275 , 246.7 , 0.00 , False , MTPR
11:17:22.241 ,  , -84005 , 11.64 , -256.6 , -300 , 247.8 , 0.00 , False , MTPR
11:17:22.252 ,  , -86074 , 11.73 , -269.4 , -313 , 249.1 , 0.00 , False , MTPR
11:17:22.264 ,  , -88531 , 11.78 , -274.8 , -317 , 250.8 , 0.00 , False , MTPR
11:17:22.276 ,  , -90946 , 12.03 , -309.0 , -354 , 252.6 , 0.00 , False , MTPR
11:17:22.287 ,  , -93866 , 12.03 , -308.1 , -350 , 255.1 , 0.00 , False , MTPR
11:17:22.298 ,  , -96734 , 11.47 , -229.0 , -258 , 257.8 , 0.00 , False , MTPR
11:17:22.310 ,  , -99903 , 11.54 , -236.4 , -264 , 261.1 , 0.00 , False , MTPR
11:17:22.321 ,  , -102565 , 11.45 , -222.8 , -247 , 264.1 , 0.00 , False , MTPR
11:17:22.332 ,  , -105431 , 11.45 , -219.1 , -241 , 267.5 , 0.00 , False , MTPR
11:17:22.345 ,  , -108588 , 10.86 , -134.8 , -147 , 271.7 , 0.00 , False , MTPR
11:17:22.356 ,  , -111125 , 10.87 , -133.0 , -144 , 275.2 , 0.00 , False , MTPR
11:17:22.368 ,  , -113365 , 10.94 , -141.2 , -152 , 278.6 , 0.00 , False , MTPR
11:17:22.379 ,  , -115627 , 10.82 , -121.5 , -130 , 282.1 , 0.00 , False , MTPR
11:17:22.391 ,  , -117643 , 10.70 , -102.4 , -109 , 285.4 , 0.00 , False , MTPR
11:17:22.402 ,  , -119306 , 10.57 , -82.1 , -87 , 288.2 , 0.00 , False , MTPR
11:17:22.414 ,  , -120706 , 10.46 , -64.4 , -68 , 290.7 , 0.00 , False , MTPR
11:17:22.425 ,  , -122033 , 10.15 , -19.0 , -20 , 293.1 , 0.00 , False , MTPR
11:17:22.437 ,  , -123112 , 10.03 , -1.0 , -1 , 295.1 , 0.00 , False , MTPR
11:17:22.448 ,  , -123899 , 9.81 , 31.5 , 33 , 296.6 , 0.00 , False , MTPR
11:17:22.461 ,  , -124499 , 9.92 , 16.2 , 17 , 297.7 , 0.00 , False , MTPR
11:17:22.472 ,  , -124851 , 9.75 , 41.1 , 43 , 298.4 , 0.00 , False , MTPR
